datetime;open;high;low;close
2025-09-05;3553.16;3599.1;3548.64;3590.01
2025-09-04;3573.33;3578.25;3527.55;3553.16
2025-09-03;3550.4;3587.5;3542.4;3573.33
2025-09-02;3490.82;3556.69;3486.35;3550.4
2025-09-01;3450;3502;3443.2;3490.83
2025-08-30;3455.6;3466.73;3451.04;3463.81
2025-08-29;3419.77;3464.7;3407.8;3455.59
2025-08-28;3388.81;3423.25;3378;3419.78
2025-08-27;3379.9;3388.82;3365;3388.82
2025-08-26;3349.54;3379.98;3336;3379.95
2025-08-25;3373.54;3373.54;3349.12;3349.54
2025-08-23;3363.43;3366.18;3345.51;3359.72
2025-08-22;3332.13;3363.43;3318.28;3363.42
2025-08-21;3339.88;3342.56;3318.25;3332.14
2025-08-20;3314.84;3339.91;3301.77;3339.88
2025-08-19;3331.76;3342.06;3308.01;3314.82
2025-08-18;3337.05;3380;3322;3331.75
2025-08-16;3329.35;3336.01;3327.21;3331.25
2025-08-15;3330.23;3341.09;3326.01;3329.36
2025-08-14;3350.8;3361;3324.39;3330.23
2025-08-13;3342.52;3358.6;3335.55;3350.8
2025-08-12;3344.14;3357.52;3332;3342.47
2025-08-11;3397.26;3403.29;3339.63;3344.13
2025-08-09;3387.21;3393.8;3375;3389.32
2025-08-08;3389.03;3397.81;3375.19;3387.21
2025-08-07;3371.54;3394.98;3368.36;3389.29
2025-08-06;3379.59;3385.25;3362.51;3371.53
2025-08-05;3378.97;3393.62;3353.8;3379.58
2025-08-04;3368.63;3384.39;3348.8;3378.96
2025-08-02;3361.89;3369.98;3355.58;3361.38
2025-08-01;3299.42;3362;3289.05;3361.89
2025-07-31;3292.2;3321.34;3288.88;3299.41
2025-07-30;3334.23;3340.28;3283;3291.98
2025-07-29;3322.01;3338.09;3318.39;3334.24
2025-07-28;3348.18;3351.53;3312;3322.01
2025-07-26;3347.16;3358.44;3345.6;3352.96
2025-07-25;3370.59;3373.55005;3326.32007;3347.17
2025-07-24;3389.03;3396.34;3359.33;3370.59
2025-07-23;3427.08;3437.79004;3386.11;3389.03
2025-07-22;3397.33;3433.43994;3383.24;3427.09
2025-07-21;3345;3401.39990;3345;3397.33
2025-07-20;3349.4;3352.8;3346.3;3347.3
2025-07-19;3347.6;3352.6;3341.9;3348
2025-07-18;3303.71;3361.28003;3303.71;3347.9
2025-07-17;3344.7;3352.25;3309.98999;3337.6
2025-07-16;3324.3;3377.18994;3319.92993;3344.7
2025-07-15;3342.4;3366.24;3320.36011;3324.6
2025-07-14;3356.92;3375.020020;3341.14990;3342.4
2025-07-13;3348;3350.9;3345.4;3349.4
2025-07-12;3349.8;3354.76;3343.6;3348.6
2025-07-11;3318.9;3367.45996;3314.8;3349.9
2025-07-10;3312.1;3330.21;3306.2;3323.67
2025-07-09;3299.1;3316.87012;3282.89990;3312.1
2025-07-08;3333.8;3345.7;3287.21;3301.03
2025-07-07;3334.01;3342.05;3296.5;3336.82
2025-07-06;3335.2;3339.5;3332.1;3334.6
2025-07-05;3335.24;3339.8;3331.3;3336.7
2025-07-04;3323.5;3344.98;3322.7;3336.8
2025-07-03;3352;3365.61;3311.66;3323.9
2025-07-02;3336.1;3359.060059;3325.7;3352
2025-07-01;3305.4;3357.96997;3300;3336.4
2025-06-30;3272.3;3309.21997;3248.98;3302.90991
2025-06-29;3273.8;3273.8;3271.9;3272
2025-06-28;3278.3;3284.3;3273.67;3284.3
2025-06-27;3326.7;3329;3255.97998;3278
2025-06-26;3331.1;3350.25;3310;3328.09
2025-06-25;3325.5;3337.3;3313.41992;3332.13989
2025-06-24;3370.9;3383.3;3299.91992;3324.9
2025-06-23;3412.9;3419.5;3347.02;3369.10010
2025-06-22;3409.5;3434.2;3406.3;3413.8
2025-06-21;3373.4;3381.9;3373.2;3380.3
2025-06-20;3381.3;3381.3;3340.32;3368.76
2025-06-19;3371.9;3389.2;3347.72998;3381.2
2025-06-18;3388.7;3399.98;3362.68994;3372.1
2025-06-17;3384.6;3403.21;3366.09;3387.3
